sensor_id;sensor_type;location;lat;lon;timestamp;noise_LAeq;noise_LA_min;noise_LA_max;noise_LA01;noise_LA95
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:19:52;38.36;34.34;40.43;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:22:23;38.29;34.69;40.43;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:24:58;38.19;34.31;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:27:26;38.28;34.69;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:29:58;38.33;34.31;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:32:26;38.29;33.90;40.62;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:34:55;38.40;34.69;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:37:24;38.40;35.04;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:39:52;39.03;33.90;48.91;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:42:22;39.30;33.90;48.48;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:44:52;38.50;35.04;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:47:19;38.46;35.04;40.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:49:47;38.50;34.69;41.75;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:52:19;38.66;34.31;41.75;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:54:57;38.50;33.90;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:57:24;38.60;34.31;41.46;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T03:59:52;38.61;35.04;42.16;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:02:19;38.51;34.31;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:04:46;38.45;34.31;40.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:07:13;38.49;35.04;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:09:40;38.45;34.69;41.68;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:12:07;38.55;35.04;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:14:34;38.55;34.69;41.03;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:17:01;38.52;35.04;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:19:28;38.57;34.69;40.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:21:55;38.61;33.44;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:24:22;38.72;34.31;43.19;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:26:49;38.49;34.69;42.41;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:29:16;38.51;35.04;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:31:43;38.52;34.31;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:34:10;38.61;35.04;40.71;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:36:38;39.07;35.36;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:39:05;38.57;35.04;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:41:32;38.66;34.31;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:43:59;38.77;35.36;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:46:26;38.89;35.36;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:48:53;39.07;35.04;41.96;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:51:20;38.71;35.04;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:53:47;38.92;35.04;42.03;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:56:14;38.86;34.69;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T04:58:41;38.79;35.66;42.35;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:01:08;39.02;35.04;41.96;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:03:35;38.67;34.31;40.80;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:06:02;38.70;34.31;41.89;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:08:30;39.17;35.36;42.19;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:10:58;38.83;35.36;41.41;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:13:25;38.86;35.04;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:15:52;39.08;35.59;41.38;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:18:19;38.99;35.36;41.14;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:20:46;39.05;35.36;41.38;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:23:13;39.28;35.36;41.68;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:25:40;38.95;35.66;40.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:28:07;39.00;35.36;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:30:34;38.94;35.94;41.38;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:33:01;39.02;35.66;41.30;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:35:28;38.99;35.94;41.55;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:37:55;38.91;35.04;41.06;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:40:23;40.32;35.04;48.99;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:42:50;39.23;35.36;41.96;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:45:17;39.15;34.69;41.68;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:47:47;39.09;35.66;42.35;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:50:16;39.07;35.94;41.82;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:52:44;38.95;35.04;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:55:12;38.95;35.66;40.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T05:57:39;38.97;35.66;41.46;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:00:09;39.02;35.36;41.30;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:02:37;39.13;35.66;41.46;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:05:04;39.14;35.94;41.30;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:07:32;39.22;35.66;42.09;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:10:01;39.39;35.66;42.65;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:12:28;39.46;36.20;52.45;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:14:55;40.87;35.36;62.75;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:17:22;39.14;35.66;41.22;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:19:49;39.21;35.66;41.30;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:22:26;39.22;35.66;42.88;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:24:55;39.25;36.20;43.04;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:27:24;39.97;36.20;51.59;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:30:21;41.15;35.36;63.67;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:35:43;39.36;36.45;46.07;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:38:14;39.37;35.94;49.75;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:40:56;39.55;35.66;43.39;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:43:29;39.41;35.04;53.31;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:46:13;41.71;35.36;67.04;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:48:55;41.73;35.66;62.35;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:54:02;47.42;36.20;76.13;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:56:40;50.70;37.32;71.54;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T06:59:24;43.39;37.70;65.61;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:04:28;40.25;36.91;51.77;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:07:11;40.13;37.12;43.81;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:09:42;40.89;37.52;60.04;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:12:15;48.95;37.70;71.36;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:14:55;50.18;37.52;70.59;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:17:23;45.10;38.05;68.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:20:09;45.84;37.32;72.23;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:22:47;40.05;37.32;43.58;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:25:19;40.79;36.91;62.70;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:27:47;40.74;37.12;65.62;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:30:21;40.07;37.12;59.98;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:32:50;39.83;37.12;51.77;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:35:17;40.00;36.20;53.62;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:38:03;39.98;36.91;46.73;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:40:31;45.65;35.66;70.16;;
54690;Laerm;40847;52.42167765;13.53219211;2021-03-03T07:43:01;46.13;35.66;75.88;;
