sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
29092;SDS011;16167;48.768;14.984;2021-03-03T04:15:18;89.32;;;37.83;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:17:45;100.38;;;38.05;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:20:14;120.28;;;42.30;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:22:42;110.75;;;41.15;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:25:11;95.07;;;38.75;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:27:40;101.32;;;39.40;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:30:08;111.68;;;42.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:32:37;91.20;;;37.60;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:35:06;101.72;;;39.28;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:37:34;97.25;;;38.35;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:40:02;138.48;;;43.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:42:31;118.82;;;39.72;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:44:58;102.22;;;39.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:47:25;101.60;;;39.40;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:49:53;104.95;;;42.53;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:52:20;145.23;;;43.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:54:48;151.80;;;44.10;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:57:15;125.13;;;43.45;;
29092;SDS011;16167;48.768;14.984;2021-03-03T04:59:44;130.75;;;42.08;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:02:11;162.00;;;42.42;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:04:38;109.28;;;42.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:07:05;104.03;;;41.03;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:09:33;106.70;;;40.60;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:12:02;121.13;;;42.28;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:14:30;92.07;;;38.33;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:16:58;89.35;;;37.80;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:19:25;80.78;;;31.80;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:21:52;91.50;;;39.75;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:24:20;101.47;;;40.05;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:26:47;155.18;;;43.42;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:29:14;94.90;;;38.55;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:31:42;96.57;;;40.28;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:34:10;99.68;;;39.30;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:36:37;130.32;;;41.45;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:39:04;133.52;;;43.70;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:41:32;161.40;;;44.15;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:44:01;138.83;;;32.67;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:46:29;245.95;;;45.70;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:49:00;320.40;;;50.42;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:51:30;106.45;;;42.35;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:53:59;190.00;;;46.08;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:56:26;176.55;;;43.42;;
29092;SDS011;16167;48.768;14.984;2021-03-03T05:58:53;201.45;;;46.65;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:01:21;175.27;;;45.67;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:03:49;200.57;;;47.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:06:19;320.10;;;51.47;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:08:47;166.27;;;46.58;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:11:14;170.65;;;48.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:13:42;123.97;;;43.30;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:16:09;159.75;;;42.72;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:18:37;151.80;;;42.50;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:21:05;253.27;;;47.00;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:23:58;113.85;;;39.95;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:26:26;126.68;;;38.60;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:28:53;162.77;;;48.95;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:31:30;180.73;;;50.85;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:34:10;234.10;;;52.33;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:36:39;189.23;;;49.63;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:39:19;187.27;;;49.25;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:41:48;147.63;;;49.75;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:44:16;111.65;;;36.95;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:46:43;167.70;;;52.65;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:49:26;189.98;;;50.85;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:51:54;152.40;;;49.67;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:54:22;143.40;;;46.97;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:56:51;156.05;;;40.92;;
29092;SDS011;16167;48.768;14.984;2021-03-03T06:59:19;258.10;;;55.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:01:49;217.73;;;48.20;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:04:18;364.08;;;56.85;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:06:51;133.38;;;47.22;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:09:20;213.23;;;47.70;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:11:50;168.70;;;47.55;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:14:27;176.30;;;47.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:17:10;100.32;;;43.25;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:19:40;127.60;;;45.97;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:22:21;111.55;;;44.15;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:24:55;102.63;;;44.47;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:27:25;95.93;;;43.95;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:29:53;93.07;;;43.38;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:32:22;88.35;;;38.58;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:34:52;97.63;;;43.42;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:37:22;88.57;;;40.85;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:39:55;97.30;;;42.58;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:42:24;97.60;;;43.10;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:44:56;106.28;;;43.50;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:47:27;106.85;;;43.83;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:49:57;99.35;;;42.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:52:27;88.25;;;40.45;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:54:57;79.60;;;38.17;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:57:25;83.57;;;37.55;;
29092;SDS011;16167;48.768;14.984;2021-03-03T07:59:53;74.70;;;36.50;;
29092;SDS011;16167;48.768;14.984;2021-03-03T08:02:20;79.25;;;36.08;;
29092;SDS011;16167;48.768;14.984;2021-03-03T08:04:48;77.05;;;36.83;;
29092;SDS011;16167;48.768;14.984;2021-03-03T08:07:28;69.47;;;33.63;;
29092;SDS011;16167;48.768;14.984;2021-03-03T08:12:57;68.25;;;31.95;;
